City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,christchurch,-43.5333,172.6333,21.85,64,75,2.06,NZ,1702684029
218,nova sintra,14.8667,-24.7167,21.99,76,96,5.85,CV,1702684250
219,palu,-0.8917,119.8707,25.21,87,98,1.0,ID,1702684250
220,aweil,8.7682,27.4002,21.51,23,22,2.29,SS,1702684250
221,vilyuysk,63.7553,121.6247,-26.11,97,100,3.58,RU,1702684250
222,marshall,34.3834,-86.3333,12.84,51,0,2.57,US,1702684251
223,al buraymi,24.2509,55.7931,16.68,72,0,1.54,OM,1702684251
224,eyl,7.9803,49.8164,24.69,70,95,10.53,SO,1702684251
225,pacific grove,36.6177,-121.9166,21.82,65,0,2.06,US,1702684027
226,muramvya,-3.2682,29.6079,14.04,95,79,0.69,BI,1702684251
227,shasta lake,40.6804,-122.3708,17.4,58,100,0.74,US,1702684251
228,talnakh,69.4865,88.3972,-23.22,99,100,2.63,RU,1702684251
229,swan hill,-35.3378,143.5544,20.32,34,14,5.26,AU,1702684252
230,san luis de la loma,17.2706,-100.8939,26.84,75,48,1.73,MX,1702684252
231,mont-dore,-22.2833,166.5833,30.99,97,11,3.99,NC,1702684252
232,susuman,62.7833,148.1667,-22.23,97,100,3.13,RU,1702684252
233,socorro,31.6546,-106.3033,17.56,23,20,4.63,US,1702684252
234,malabar,-33.9667,151.25,33.43,32,0,5.66,AU,1702684252
235,georgetown,5.4112,100.3354,27.19,94,20,1.03,MY,1702684227
236,yalihuyuk,37.3008,32.0855,8.07,89,100,1.77,TR,1702684253
237,sao tome,0.3365,6.7273,27.35,78,91,1.46,ST,1702684253
238,sao joao da barra,-21.6403,-41.0511,26.05,89,0,7.27,BR,1702684253
239,ta`u,-14.2336,-169.5144,27.35,85,99,6.57,AS,1702684253
240,qaqortoq,60.7167,-46.0333,-5.78,94,100,7.06,GL,1702684253
241,fale old settlement,-9.3852,-171.2468,28.85,77,100,4.87,TK,1702684254
242,berezovyy,51.6667,135.7,-25.89,70,1,0.92,RU,1702684254
243,charlotte amalie,18.3419,-64.9307,24.82,94,100,5.66,VI,1702684254
244,yanam,16.7333,82.2167,22.56,81,78,2.47,IN,1702684254
245,manokwari,-0.8667,134.0833,28.33,71,91,0.63,ID,1702684254
246,carnarvon,-24.8667,113.6333,24.97,70,0,6.1,AU,1702684254
247,road town,18.4167,-64.6167,25.02,83,40,6.69,VG,1702684254
248,mchinji,-13.7984,32.8802,21.08,70,69,1.19,MW,1702684255
249,campo belo,-20.8972,-45.2772,26.07,45,91,2.58,BR,1702684167
250,constantia,44.1833,28.65,2.61,76,100,9.84,RO,1702684255
251,ilulissat,69.2167,-51.1,-14.99,56,85,9.77,GL,1702684255
252,acapulco de juarez,16.8634,-99.8901,27.03,75,77,1.88,MX,1702684244
253,mission,26.2159,-98.3253,22.91,82,0,4.12,US,1702684255
254,malango,-2.9627,119.9001,22.93,83,98,0.76,ID,1702684255
255,west fargo,46.875,-96.9004,4.0,85,100,6.17,US,1702684255
256,robore,-18.3333,-59.75,31.72,41,100,3.14,BO,1702684256
257,port hueneme,34.1478,-119.1951,24.74,29,40,3.09,US,1702684256
258,cabedelo,-6.9811,-34.8339,26.37,84,73,3.28,BR,1702684020
259,edmundston,47.3737,-68.3251,1.63,82,40,6.69,CA,1702683978
260,inverloch,-38.6333,145.7167,15.91,66,52,8.63,AU,1702684256
261,nueva esperanza,15.2667,-87.6,26.79,97,68,1.25,HN,1702684256
262,parksville,49.3163,-124.3195,9.4,92,100,10.29,CA,1702684256
263,lospalos,-8.5186,127.0025,24.31,91,100,2.02,TL,1702684257
264,punta arenas,-53.15,-70.9167,10.06,53,20,11.32,CL,1702684153
265,the pas,53.8251,-101.2541,0.01,55,0,3.09,CA,1702684257
266,auki,-8.7676,160.7034,28.47,75,96,1.65,SB,1702684257
267,barisal,22.7019,90.3711,15.01,67,1,2.5,BD,1702684257
268,morondava,-20.2833,44.2833,27.45,83,96,1.43,MG,1702684257
269,praia da vitoria,38.7333,-27.0667,18.75,100,75,9.15,PT,1702684257
270,vila franca do campo,37.7167,-25.4333,19.23,99,100,7.68,PT,1702684258
271,qalat,32.1058,66.9083,3.68,96,99,0.98,AF,1702684258
272,afaahiti,-17.75,-149.2833,29.93,82,73,8.0,PF,1702684258
273,ulsteinvik,62.3432,5.8487,7.26,86,100,9.83,NO,1702684258
274,matoury,4.8483,-52.3317,27.98,83,75,1.54,GF,1702684258
275,naze,28.3667,129.4833,18.51,85,89,6.52,JP,1702684258
276,saint john,45.2727,-66.0677,5.0,75,0,2.57,CA,1702684130
277,dryden,49.7833,-92.7503,-2.84,74,20,1.54,CA,1702684259
278,nar'yan-mar,67.6713,53.087,-13.83,92,99,5.36,RU,1702684259
279,vernon,50.2581,-119.2691,4.2,86,98,3.09,CA,1702684259
280,wewak,-3.5534,143.6268,29.01,68,77,1.3,PG,1702684259
281,butha-buthe,-28.8333,28.5,9.81,81,100,1.79,LS,1702684259
282,hermanus,-34.4187,19.2345,16.28,87,0,3.53,ZA,1702684260
283,flin flon,54.7682,-101.865,-4.09,74,20,3.6,CA,1702684260
284,chardara,41.2547,67.9692,0.97,78,100,4.26,KZ,1702684260
285,taltal,-25.4,-70.4833,18.63,79,24,2.23,CL,1702684260
286,thoen,17.6129,99.2161,20.5,92,49,0.47,TH,1702684260
287,alaghsas,17.0187,8.0168,16.57,22,0,5.99,NE,1702684260
288,scottburgh,-30.2867,30.7532,18.98,92,100,1.14,ZA,1702684260
289,cannonvale,-20.2833,148.7,27.66,71,100,2.78,AU,1702684261
290,qui nhon,13.7667,109.2333,23.7,87,35,2.96,VN,1702684261
291,tazovsky,67.4667,78.7,-27.87,98,76,2.48,RU,1702684261
292,puerto deseado,-47.7503,-65.8938,20.07,32,100,11.74,AR,1702684261
293,tazacorte,28.629,-17.9293,18.54,59,0,4.12,ES,1702684261
294,mermoz boabab,14.7065,-17.4758,24.88,73,88,3.09,SN,1702684261
295,penzance,50.1186,-5.5371,10.38,95,18,4.74,GB,1702684262
296,campo alegre,-9.7819,-36.3508,22.84,87,100,1.52,BR,1702684262
297,mitchell,43.7094,-98.0298,3.74,81,100,4.12,US,1702684262
298,hajjah,15.6943,43.6058,15.2,61,20,0.68,YE,1702684262
299,genhe,50.7833,121.5167,-38.17,100,46,0.38,CN,1702684263
300,soure,-0.7167,-48.5233,27.55,77,71,5.51,BR,1702684263
301,erenhot,43.6475,111.9767,-23.95,89,74,5.92,CN,1702684263
